term,gloss,forms,occurrences
"andraemon","a male given name, Andraemon",1,11
"anticyra","a town of Phocis situated on a peninsula on a bay of the Corinthian gulf",1,11
"dragonwort","dragonwort (Dracunculus vulgaris)",1,11
"apoplectic","Stricken by a stroke",1,11
"archduke","archduke, chief duke or prince",1,11
"tarquin","A son of Tarquinius",1,11
"fascinum","fascinum",1,11
"beelzebub","the god of the Philistine city of Ekron.",1,11
"belluno","a town of the interior of Venetia, on the upper valley of the Plavis, now Belluno",1,11
"caracalla","A long tunic with a hood worn by the Gauls",1,11
"fortified","Of or pertaining to a fortress.",1,11
"hinder","to hinder, prevent someone from doing something",1,11
"communicative","sharing, imparting",1,11
"daphnus","A city of Phocis situated on the gulf of Euboea",1,11
"dardania","Dardania (a region inhabited by the Dardani in classical antiquity)",1,11
"desist","to leave off, give over, give up",1,11
"euchenor","Euchenor, a Corinthian slain by Paris",1,11
"fina","Fédération Internationale de Natation, the world's governing body for swimming",1,11
"frisian","A tribe of Northern Germany who dwelt between the rivers Rhine and Ems.",1,11
"brine","salt humour, salt scum",1,11
"hemina","hemina (a Roman unit of liquid measure reckoned as the volume of 5⁄6 Roman pound of wine, equivalent to around 0.27 L)",1,11
"congeneric","of the same race, family or kind",1,11
"guzzle","to eat greedily, to guzzle",1,11
"mathematical","Of or pertaining to mathematics; mathematical.",1,11
"maternal cousin","A first cousin on the mother's side; (especially) the child of one's mother's brother (one type of parallel cousin).",1,11
"mediatrix","mediator, intermediary, go-between (female)",1,11
"aegae","An ancient city of Macedonia, whose exact location is still unknown",1,11
"naubolus","Naubolus, the name of various mythological characters",1,11
"submissive","complying, submitting, yielding, obsequious",1,11
"darkening","darkening, obscuring",1,11
"palamedes","Palamedes",1,11
"metellinum","an ancient town in Lusitania situated near Emerita Augusta",1,11
"bargylia","Bargylia, Caria, Turkey",1,11
"sardonyx","sardonyx",1,11
"smyrnaean","of, from, or pertaining to Smyrna (now İzmir), Smyrnaean",1,11
"sleepwalker","sleepwalker",1,11
"tarphe","Tarphe, Locris, Greece",1,11
"ucalegon","Ucalegon",1,11
"containing poison","containing poison",1,11
"unbroken","unbroken",2,11
"processional","Of or pertaining to a march or train of something.",2,11
"agrippa","A masculine praenomen and cognomen, most notably held by Marcus Vipsanius Agrippa.",2,11
"nivica","the name of a polis, in Illyris Graeca, comprising two towns, one inland, and the other on the coast, now Nivica",2,11
"amphrysus","a small river in Thessaly, Greece, celebrated in mythology as the river on the banks of which Apollo fed the flocks of king Admetus",2,11
"unisex","common to men and women",2,11
"so far","so far",2,11
"eighth","eighth",2,11
"chiliarch","chiliarch, commander of a thousand men in Ancient Greece",2,11
"collatia","an ancient city in Latium, situated between Gabii and the river Anio",2,11
"orf","a kind of eruption or scab on lambs",2,11
"epicurus","A Greek name, Epicurus, notably borne by a philosopher",2,11
"eteocles","a male given name, equivalent to English Eteocles",2,11
"double attack","the state of being attacked on both sides",2,11
"lawfully","lawfully, legitimately, according to law",2,11
"legacy","A bequest, legacy",2,11
"woodcutter","A woodcutter, lumberjack, somebody who is sent to collect wood or firewood.",2,11
"nowise","By no means, in no way, not at all",2,11
"micronesia","Micronesia (a continental region in Oceania in the northwestern Pacific Ocean consisting of around 2,000 small islands)",2,11
"nicostratus","a male given name, equivalent to English Nicostratus",2,11
"opimian","of or pertaining to the gens Opimia.",2,11
"philadelphia","Philadelphia (ancient Greek city in the Decapolis in modern Jordan; modern Amman)",2,11
"blowpipe","blowpipe",2,11
"placable","placable",2,11
"division","A cleaving, dividing, scission (of a number).",2,11
"salona","the capital of Dalmatia and birthplace of Diocletian, now Solin or Salona",2,11
"sincipital","sincipital (of or pertaining to the sinciput)",2,11
"stimula","The Roman name of Semele",2,11
"triplet","triplet",2,11
"drummer","drummer or tambourine player (female)",2,11
"servile","servile, obsequious",2,11
"fir","Of or pertaining to fir or deal.",2,11
"aelian","of or pertaining to the gens Aelia.",2,11
"aerial","of or in the upper air",2,11
"antiochene","Alternative letter-case form of Antiochēnsis",2,11
"bipartite","bipartite; in two parts or divisions",2,11
"laos","a coastal town in Bruttium, now Cirella",2,11
"petticoat","A kind of petticoat used by women",2,11
"erythrae","Erythrae; Ildırı, Turkey",3,11
"aquae","A town of Numidia famous for its hot springs",3,11
"fruit-gathering","fruit-gathering (used as an epithet of the ant)",3,11
"autumn crocus","autumn crocus (Colchicum autumnale)",3,11
"obedience","obedience",2,11
"unbelieving","unbelieving, disbelieving, incredulous",2,11
"quarrel","quarrel",3,11
"palladium","palladium, one of perhaps several statues of Athena, as in the Iliad and Aeneid, believed to safeguard Troy, and later, various Italian cities",2,11
"livestock","sheep, cattle",3,11
"dominant","dominant, superior",2,11
"set forth","set forth",2,11
"sought","which is to be sought for",3,11
"ishtar","The goddess of love among the Babylonians",3,11
"carnelian","sardian, carnelian",2,11
"scaean gates","Scaean Gates (gateway in the walls of Troy)",2,11
"groom","a groom",3,11
"foundation","foundation, framework, firmament",3,11
"tiridates","A king of Armenia, crowned by Nero",2,11
"butterfly","a moth, butterfly",2,11
"small songbird","A small songbird",2,11
"apollyon","Apollyon, the angel mentioned in Revelation 9:11.",3,11
"assisting","assisting, helping, aiding",3,11
"agrarian","of or pertaining to the fields",3,11
"charente","a river in modern Nouvelle-Aquitaine, France; modern Charente",3,11
"carthaea","Carthaea, Ceos, Greece",4,11
"concession","concession",3,11
"contentious","contentious, disputatious",2,11
"cyparissus","Cyparissus, Phocis, Greece",3,11
"delilah","Delilah",3,11
"merchandise","merchandise, wares",3,11
"excessive","excessive",2,11
"occupied","occupied, exercised, practised",3,11
"furian","of or pertaining to the gens Furia.",2,11
"gergovia","Gergovia (ancient town in Gaul)",3,11
"unafraid","unafraid",2,11
"judea","Judea",3,11
"laevinus","Laevinus",3,11
"shackle","shackle, fetter",3,11
"slayer","destroyer (person), slayer, murderer",3,11
"skimmers","skimmers or scissor-bills, members of the genus Rynchops",3,11
"tied under","tied under",3,11
"balcony","balcony, terrace",2,11
"pitiable","Hesychius gives the definition as: οἰκτρόν (oiktrón, ""pitiable""), ἥσυχον (hḗsukhon, ""quiet"").",2,11
"struck","unaugmented third-person singular aorist active indicative of τύπτω (túptō)",3,11
"venerated","which is to be venerated",3,11
"rapacity","The action of a hawk; rapacity; robbery.",4,11
"benevolent","benevolent, kind, friendly, favorable",2,11
"intermarine","lying between two seas",3,11
"brabant","Brabant (a historical province of Belgium).",4,11
"bregenz","Bregenz (a city in modern Austria)",2,11
"sung","sung, having been sung.",3,11
"kurd","a Kurd",2,11
"comparable","which is to be compared, etc.",2,11
"originated","originated",4,11
"dactylic","dactylic",4,11
"stallage","rent paid for a stall; stall-money, stallage",5,11
"egypt","Egypt",3,11
"synnada","Synnada, Phrygia, Turkey",3,11
"incited","incited, excited, stimulated, instigated, provoked",2,11
"dislocate","to put out of joint, dislocate",3,11
"anchovy","kind of anchovy",3,11
"veii","Veii (ancient Etruscan city in Italy)",3,11
"manilian","of or pertaining to the gens Manilia.",2,11
"massalia","Massalia (ancient Greek city and colony in modern southern France; modern Marseille)",2,11
"little mother","little mother",2,11
"procrastinator","one who delays, dawdler, procrastinator",3,11
"thousand-containing","containing a thousand",3,11
"ninefold","Containing or consisting of nine things",2,11
"oratorical","oratorical",2,11
"parthenopaeus","Parthenopaeus",2,11
"procida","a small island of the Tyrrhenian Sea situated off the coast of Campania, now Procida",4,11
"warehouse","A warehouse.",3,11
"quartarius","quartarius, a Roman unit of liquid measure equivalent to about 0.14 L",2,11
"slovakia","Slovakia (a country in Central Europe)",3,11
"sigh","a fetching a deep breath; a sighing, sigh",5,11
"three-horned","having three horns",2,11
"zechariah","Zechariah",4,11
"omentum","the adipose membrane which encloses the bowels",5,11
"comb jellies","The comb jellies",4,11
"be taken","second-person singular aorist passive subjunctive of λαμβάνω (lambánō)",4,11
"argive","of Argos, Argive, Greek",2,11
"bibulous","Given or addicted to drink or drinking, fond of drink, bibulous.",3,11
"carthage","Carthage (an ancient city-state and former empire centered on modern Tunisia)",5,11
"catalonia","Catalonia (an autonomous community in northeast Spain).",4,11
"you think","second-person singular present middle indicative of οἴομαι (oíomai)",5,11
"cutting down","cutting down",2,11
"eupithes","Eupithes, father of Antinous of Ithaca",4,11
"feculent","abounding in dregs or sediment; thick, impure; feculent",3,11
"effeminate","womanish; effeminate",2,11
"fictitious","fictitious",3,11
"frying pan","frying pan",5,11
"granicus","Granicus, Biga Çayı (a river in Turkey)",4,11
"marine","of the sea, marine",4,11
"inaccessible","unapproached, unapproachable, inaccessible",4,11
"overseer","inspector; overseer",4,11
"infusion","infusion (process and product)",4,11
"calends","The calends, used in reckoning Roman dates: the 1st day of a month.",4,11
"iamb","iamb, a metrical foot",2,11
"ending sorrow","ending sorrow (Scholia Aristophanica, vol.1, 1896, p.251)",2,11
"prostitutional","meretricious: Of or related to prostitutes and prostitution.",5,11
"sockeye salmon","Used as a specific epithet; sockeye salmon.",3,11
"not know","to not know, to be ignorant, to not understand",3,11
"ottawa","Ottawa (a city in Ontario, Canada; the capital city of Canada)",4,11
"astacus","Astacus; Astakos, Greece",3,11
"philae","Philae",4,11
"pieria","Pieria, Macedonia, Greece",3,11
"strangled","strangled, choked",3,11
"political","political, civil, of the state, relating to civil polity",4,11
"generative","of or related to the act of generation or birth: productive, creative, causal",4,11
"tricolor","tricolor",5,11
"chios","An island off the coast of Izmir",6,11
"queteleta","The astroid 1239 Queteleta.",4,11
"ruminate","to chew the cud",4,11
"salvius","Salvius",3,11
"privy councillor","a privy councillor",4,11
"shem","Shem, one of the sons of Noah.",4,11
"sevenfold","sevenfold, possessing seven parts",3,11
"shekel","shekel (Hebrew coin)",4,11
"accustomed","accustomed, wonted; usual",3,11
"beet","beet (Beta vulgaris)",5,11
"tunisia","Tunisia (a country in North Africa)",5,11
"unable","unable",3,11
"inundation","The act of washing upon or overflowing, inundation, flood.",3,11
"remedial","of or pertaining to healing, remedying",5,11
"archaea","Single-celled organisms lacking nuclei, formerly called archaebacteria, but now known to differ fundamentally from bacteria.",4,11
"little star","little star",6,11
"unsociability","unsociability (unwillingness to mingle with others)",4,11
"celestial","celestial, heavenly; magnificent",5,11
"wrestled","wrestled",4,11
"acrimony","bitterness, harshness",5,11
"greeks","the Danaans, the Greeks",4,11
"unstitched","unstitched",6,11
"cowpie","cowpie, cow pat, the excrement produced by a cow",6,11
"having appeared","having appeared",4,11
"pharynx","the upper part of a throat; pharynx; gullet",7,11
"gijón","Gijón",5,11
"gracchus","Gracchus; a member of the Gracchi, a Roman plebeian family",6,11
"carried into","carried into",5,11
"hurl","to throw or hurl",3,11
"sworn","on oath; having been vowed",6,11
"optical","optical",3,11
"muck","muck, splatter",6,11
"paternal","in the manner of a father, paternally",5,11
"sacrificial cake","a sacrificial cake",7,11
"porcine","of or relating to a swine",5,11
"caresus","Caresus, a river of Troas mentioned in the Iliad",4,11
"foreseen","foreseen",4,11
"arcturus","Arcturus, a bright star in the Boötes constellation.",4,11
"carried","Having been carried, thrown back, recorded",4,11
"devastate","to completely devastate, totally lay waste to",4,11
"tepidarium","tepidarium (warm room in Roman baths)",3,11
"renew war","to renew war, to wage war again",3,11
"transported","transported",5,11
"fir","made of fir or deal",4,11
"apiolae","an ancient city in Latium, besieged by Tarquinius Priscus",4,11
"arsenic","arsenic (chemical element 33)",5,11
"rough place","an uneven, rough place",5,11
"weight","weight; burden; load",7,11
"bracelet","sort of bracelet worn by men",7,11
"mullet","flathead mullet (Mugil cephalus)",8,11
"hot-tempered","having madness in the brain, hot-tempered",4,11
"pulverized","crumbled; pulverized",3,11
"coxal","Relating to the hip.",4,11
"color-changing","Producing or changing color in a certain way.",7,11
"grapevine","A kind of grapevine",5,11
"blown","wiped, blown (of a nose)",5,11
"priest","priest, flamen",4,11
"glaucon","a male given name, Glaucon",6,11
"plough","to plough around or up",4,11
"comet","A type of comet",6,11
"hippias","Hippias, a common Ancient Greek name.",5,11
"offscouring","offscouring",4,11
"malaria","malaria",6,11
"andania","Andania, Messenia, Greece",5,11
"millennium","millennium",5,11
"minoa","Minoa, Sicily, Italy",7,11
